SN,Severity,Equipment,Equipment ID,Alarm Name,Generation Time,End Time,Fault Code,
712,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2021-08-29 09:42:16,2021-08-29 09:42:23,0
711,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2021-08-29 09:40:05,2021-08-29 09:40:12,0
710,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2021-08-29 09:39:25,2021-08-29 09:39:32,0
709,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2021-08-29 09:37:18,2021-08-29 09:37:26,0
708,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2021-08-29 09:36:15,2021-08-29 09:36:28,0
707,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2021-08-29 09:28:13,2021-08-29 09:28:26,0
706,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2021-08-29 09:20:39,2021-08-29 09:20:47,0
705,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2021-08-29 09:16:45,2021-08-29 09:16:52,0
704,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2021-08-29 09:15:48,2021-08-29 09:15:55,0
703,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2021-08-29 09:15:07,2021-08-29 09:15:14,0
702,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2021-08-29 09:14:26,2021-08-29 09:14:33,0
701,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2021-08-29 09:11:16,2021-08-29 09:11:23,0
700,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2021-08-29 09:10:35,2021-08-29 09:10:42,0
699,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2021-08-29 09:08:36,2021-08-29 09:08:43,0
698,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2021-08-29 09:07:49,2021-08-29 09:07:57,0
697,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2021-08-29 09:03:38,2021-08-29 09:03:45,0
696,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2021-08-29 09:02:57,2021-08-29 09:03:04,0
695,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2021-08-29 09:01:48,2021-08-29 09:02:12,0
692,Critical,ECC800_FM03,0x0001,water_sensor_2 DI alarm,2021-08-11 12:47:23,2021-08-11 12:59:10,0
691,Critical,ECC800_FM03,0x0001,water_sensor_2 DI alarm,2021-08-11 00:21:51,2021-08-11 05:22:37,0
690,Critical,ECC800_FM03,0x0001,water_sensor_2 DI alarm,2021-08-10 21:35:52,2021-08-10 21:45:57,0
689,Critical,ECC800_FM03,0x0001,water_sensor_2 DI alarm,2021-08-09 09:56:06,2021-08-09 10:01:53,0
686,Critical,ECC800_FM03,0x0001,water_sensor_2 DI alarm,2021-08-09 09:44:36,2021-08-09 09:56:00,0
685,Critical,ECC800_FM03,0x0001,water_sensor_2 DI alarm,2021-08-09 09:40:50,2021-08-09 09:44:36,0
684,Critical,ECC800_FM03,0x0001,water_sensor_2 DI alarm,2021-08-08 16:11:48,2021-08-08 16:12:01,0
683,Critical,ECC800_FM03,0x0001,water_sensor_2 DI alarm,2021-08-08 16:02:34,2021-08-08 16:03:03,0
682,Critical,ECC800_FM03,0x0001,water_sensor_2 DI alarm,2021-08-08 14:06:49,2021-08-08 14:07:30,0
681,Critical,ECC800_FM03,0x0001,water_sensor_2 DI alarm,2021-08-08 11:47:56,2021-08-08 11:48:48,0
679,Critical,ECC800_FM03,0x0001,water_sensor_2 DI alarm,2021-08-08 11:23:43,2021-08-08 11:47:51,0
678,Critical,ECC800_FM03,0x0001,water_sensor_1 DI alarm,2021-08-08 11:23:34,2021-08-08 11:23:39,0
676,Critical,ECC800_FM03,0x0001,water_sensor_1 DI alarm,2021-08-08 11:23:04,2021-08-08 11:23:34,0
673,Critical,ECC800_FM03,0x0001,water_sensor_2 DI alarm,2021-08-08 10:34:58,2021-08-08 11:23:05,0
668,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2021-08-05 21:45:54,2021-08-05 21:47:32,0
662,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2021-07-28 20:31:49,2021-07-28 20:53:08,0
659,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2021-07-28 11:51:01,2021-07-28 11:59:07,0
655,Critical,ECC800_FM03,0x0001,water_sensor_2 DI alarm,2021-07-20 05:08:37,2021-07-20 05:08:56,0
654,Critical,ECC800_FM03,0x0001,water_sensor_2 DI alarm,2021-07-20 05:07:34,2021-07-20 05:08:32,0
652,Critical,ECC800_FM03,0x0001,water_sensor_2 DI alarm,2021-07-20 04:10:25,2021-07-20 05:07:23,0
649,Critical,ECC800_FM03,0x0001,water_sensor_2 DI alarm,2021-07-20 03:23:26,2021-07-20 04:09:34,0
